"filename", "language", "JSON", "Dart", "C++", "YAML", "Markdown", "XML", "HTML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\contribution_provider.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\event_provider.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 205
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\group_provider.dart", "Dart", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 236
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\invitation_provider.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 98
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\notification_provider.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\podcast_provider.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\post_provider.dart", "Dart", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 232
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\user_favorites_provider.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\provider\user_provider.dart", "Dart", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 117
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\repository\announcement_repository.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 59
