Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_interest_service.dart                             | Dart       |         25 |          1 |          6 |         32 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_invitations_service.dart                          | Dart       |         85 |          7 |         15 |        107 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_podcast_service.dart                              | Dart       |         21 |          0 |          4 |         25 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_post_service.dart                                 | Dart       |        136 |         19 |         34 |        189 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_remote_config_service.dart                        | Dart       |         49 |          0 |          8 |         57 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_report_service.dart                               | Dart       |         40 |          0 |          5 |         45 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_request_service.dart                              | Dart       |         30 |          0 |          6 |         36 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_story_service.dart                                | Dart       |         11 |          0 |          2 |         13 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_user_favorites_service.dart                       | Dart       |         27 |          3 |          6 |         36 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\firebase_user_service.dart                                 | Dart       |         54 |          2 |         11 |         67 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\network_status_service.dart                                | Dart       |         18 |          0 |          6 |         24 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\upload_service.dart                                        | Dart       |         96 |         59 |         30 |        185 |
| d:\Software\Flutter\dodact_v1\lib\services\concrete\youtube_video_validator.dart                               | Dart       |         60 |          3 |         17 |         80 |
| d:\Software\Flutter\dodact_v1\lib\ui\auth\forgot_password.dart                                                 | Dart       |        140 |          2 |          8 |        150 |
